feature,min,max
0,-1.5534549022132307,7.047424099879977
1,-3.1462083312576703,3.530019292711617
2,-3.1891981596558776,5.704631249217829
3,-3.4740053297195277,9.297777747550558
4,-1.9584780255866387,2.625087597893604
5,-1.7410625832630517,2.8874530658521165
6,-3.16316439013741,6.665165179357533
7,-1.8938445422475485,2.1490097805512
8,-2.3069727428535116,2.592199848317126
9,-2.1275203427182543,3.2427682139997023
10,-2.3375288167774757,3.297751900719658
11,-2.9635938131618595,3.15616225906026
12,-2.0665886969169365,4.970829358921615
13,-2.2067798066087425,2.5032339556295016
14,-2.12050718352898,3.12805595149456
15,-2.825408816073413,3.372676678413302
16,-2.50080537780509,4.357800155314938
17,-2.5452670843619845,5.592511705525521
18,-5.055348303335069,35.17020622476101
19,-1.8195280708711525,43.978102397621754
20,-8.88565608099125,10.825230697797828
21,-8.272965464538737,11.06391421732941
22,-5.389404348527237,12.042106834931582
23,-7.455684809119938,9.557324493678651
24,-6.04938075340707,6.438438054238948
25,-5.96170444683618,21.871381464720518
26,-9.44193945334113,20.029060501508074
27,-4.616174691144114,10.58726782235071
28,-10.936384603370504,17.05619844365133
29,-8.88928286810846,13.078790865588797
30,-17.769389583143877,18.10623296529515
31,-12.976593161337087,39.13619924169584
32,-10.831873145742286,23.09356097014367
33,-13.640113173291356,15.095285555992394
34,-9.833026791780263,14.407809342544146
35,-7.617227587935962,33.56876653160252
36,-14.983020316479058,18.70960070571415
37,-10.096424115291704,32.90592050750441
38,-14.024289977113236,35.02285310844019
39,-5.069503335975025,48.73888744357364
40,-14.76542830323302,33.27692999015769
41,-10.63351633246503,33.93572643932318
42,-18.875208575727985,40.699027460316906
43,-17.435181310572357,34.8009532543466
44,-9.995981314046809,57.70746298307637
45,-5.138040416106485,11.840176133800863
46,-4.248646964185655,5.599654029489696
47,-2.2367945424182216,9.444194603675317
48,-2.0301146599618374,13.84205019966363
49,-4.817959585902687,16.74325816636059
50,-1.8898928888151676,4.554789185633399
51,-2.010608571225133,5.508139828782535
52,-1.4419145328968854,2.2525185207569844
53,-4.1103249942760955,7.964530126262416
54,-6.165509248900429,11.218974971276085
55,-2.751000323209949,9.950259559846796
56,-3.622581290918711,13.202552696414472
57,-1.5823611669413733,2.832516246766967
58,-1.7630769995915454,2.4293666600574633
59,-3.639517698790437,3.6301986110491717
